cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
600;251;9;1;D_KTC;B;1.41;0.0;1;1.000;0.02;251;0;251;7828;31.2;1;1;251.00;251;7828;1.26;4.00;496.00;7828;726;7102;7828;0;7828;465.00;8079;7828;7828;7828;0;251;0;7828;0;0;0;0;159.00;4070638968.61;40866801.56;1000000000000.00;66.99;31.44;100.00;0;2.00;72.00;16822.80;260835.46;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;2;2.000;0.23;251;0;251;8036;32.0;1;1;251.00;251;8036;1.24;4.00;297.00;8036;712;7324;8036;0;8036;525.00;28440;2030;2030;2030;0;0;0;2028;1820;6008;0;6008;61.00;4070341580.42;40547414.23;999999256632.63;66.77;31.19;100.00;0;0.00;62.00;16771.75;260025.59;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;3;3.000;0.42;251;0;251;8036;32.0;1;1;251.00;251;8036;1.24;5.00;251.00;8036;712;7324;8036;0;8036;50.00;24033;0;0;0;0;0;0;0;0;6008;0;6008;71.00;4069964959.79;40006535.59;999998013293.14;66.48;30.77;100.00;0;0.00;61.00;16771.75;260025.59;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;4;4.000;0.61;251;0;251;8190;32.6;1;1;251.00;251;8190;1.34;5.00;282.00;8190;712;7478;8190;0;8190;465.00;26208;3162;3162;3162;0;0;0;3152;2998;4906;0;4906;64.00;4069595913.07;39489851.94;999996671092.69;66.20;30.38;100.00;0;0.00;75.00;16837.58;261068.03;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;5;5.000;0.81;251;0;251;8114;32.3;1;1;251.00;251;8114;1.40;5.00;255.00;8114;682;7432;8114;0;8114;354.00;27447;2014;2014;2014;0;0;0;2004;2080;5747;0;5747;63.00;4069226447.93;39057666.57;999995380776.83;65.92;30.04;100.00;0;0.00;60.00;16910.62;262228.34;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;6;6.000;1.02;251;0;251;8182;32.6;1;1;251.00;251;8182;1.34;5.00;273.00;8182;682;7500;8182;0;8182;404.00;27239;2126;2126;2126;0;0;0;2126;2058;5674;0;5674;64.00;4068852917.20;38882137.78;999994413412.10;65.64;29.91;100.00;0;0.00;64.00;16764.74;259921.29;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;7;7.000;1.22;251;0;251;8392;33.4;1;1;251.00;251;8392;1.37;5.00;270.00;8392;702;7690;8392;0;8392;397.00;27364;2178;2178;2178;0;0;0;2176;1966;5716;0;5716;62.00;4068479866.18;38707778.29;999993395891.91;65.35;29.78;100.00;0;0.00;67.00;16743.67;259589.95;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;8;8.000;1.42;251;0;251;8390;33.4;1;1;251.00;251;8390;1.39;6.00;287.00;8390;710;7680;8390;0;8390;414.00;27398;2120;2120;2120;0;0;0;2118;2120;5698;0;5698;63.00;4068109124.04;38344932.39;999992314332.24;65.07;29.50;100.00;0;0.00;68.00;16805.49;260580.11;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;9;9.000;1.62;251;0;251;8580;34.2;1;1;251.00;251;8580;1.47;6.00;318.00;8580;706;7874;8580;0;8580;470.00;27781;2254;2254;2254;0;0;0;2252;2062;5764;0;5764;62.00;4067735442.33;37943945.62;999991142640.20;64.79;29.19;100.00;0;0.00;69.00;16907.94;262228.51;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;9;1;D_KTC;B;1.41;0.0;10;10.000;1.83;251;0;251;8450;33.7;1;1;251.00;251;8450;1.44;6.00;272.00;8450;698;7752;8450;0;8450;417.00;28206;2100;2100;2100;0;0;0;2098;2228;5872;0;5872;60.00;4067358839.44;37719806.29;999990218297.34;64.50;29.02;100.00;0;0.00;69.00;16808.39;260673.68;-1.00;-1.00;-1.00;-1.00;-1.00
